document,base_document
French Bulldog,
District 9,
Sagrada Família,
Coffee,
Artificial intelligence,
Phalène,French Bulldog
Australian Silky Terrier,French Bulldog
Chinese Crested Dog,French Bulldog
Continental Bulldog,French Bulldog
Bullmastiff,French Bulldog
Griffon Fauve de Bretagne,French Bulldog
Beauceron,French Bulldog
Grand Bleu de Gascogne,French Bulldog
Coton de Tulear,French Bulldog
Pug,French Bulldog
Griffon Bruxellois,Phalène
Burgos Pointer,Phalène
Italian Greyhound,Phalène
German Shorthaired Pointer,Phalène
Stabyhoun,Phalène
Biewer Terrier,Phalène
Coton de Tulear,Phalène
Briquet de Provence,Phalène
El Mundo (Spain),Sagrada Família
Braque Saint-Germain,Phalène
English Toy Terrier (Black & Tan),Phalène
Dona i Ocell,Sagrada Família
La Vanguardia,Sagrada Família
Tree of life,Sagrada Família
Minimal surface,Sagrada Família
Presa Canario,Continental Bulldog
Montserrat (mountain),Sagrada Família
Mastiff,Continental Bulldog
Gothic Revival architecture,Sagrada Família
Córdoba fighting dog,Continental Bulldog
The Human Condition (Magritte),Sagrada Família
Andrea Palladio,Sagrada Família
Casa de les Punxes,Sagrada Família
Ca de Bou,Continental Bulldog
Tosa (dog breed),Continental Bulldog
Bully Kutta,Continental Bulldog
Broholmer,Continental Bulldog
Olde English Bulldogge,Continental Bulldog
Chongqing dog,Continental Bulldog
Miniature Bull Terrier,Australian Silky Terrier
Patterdale Terrier,Australian Silky Terrier
Alaunt,Continental Bulldog
American Hairless Terrier,Australian Silky Terrier
Ratonero Valenciano,Australian Silky Terrier
Treeing Cur,Australian Silky Terrier
Scottish Terrier,Australian Silky Terrier
Fox Terrier,Australian Silky Terrier
Dandie Dinmont Terrier,Australian Silky Terrier
Quicks,Chinese Crested Dog
Toy Fox Terrier,Australian Silky Terrier
Fox Terrier,Australian Silky Terrier
Miniature Pinscher,Chinese Crested Dog
Liangshan Dog,Chinese Crested Dog
Semantic Scholar,Chinese Crested Dog
Luxating patella,Chinese Crested Dog
Lap dog,Chinese Crested Dog
Griffon Bruxellois,Chinese Crested Dog
King Charles Spaniel,Chinese Crested Dog
English White Terrier,Bullmastiff
Welsh Hillman,Bullmastiff
Kurdish Mastiff,Bullmastiff
Landrace,Chinese Crested Dog
Saint Miguel Cattle Dog,Bullmastiff
Miniature Bull Terrier,Bullmastiff
Wire Fox Terrier,Bullmastiff
Bulldog,Bullmastiff
Berger Picard,Griffon Fauve de Bretagne
Landrace,Chinese Crested Dog
Cur,Bullmastiff
Blue Lacy,Griffon Fauve de Bretagne
Dog,Bullmastiff
Taigan,Griffon Fauve de Bretagne
Tyrolean Hound,Griffon Fauve de Bretagne
Welsh Hound,Griffon Fauve de Bretagne
English Setter,Bullmastiff
Irish Wolfhound,Griffon Fauve de Bretagne
Braque Saint-Germain,Griffon Fauve de Bretagne
Bluetick Coonhound,Griffon Fauve de Bretagne
Braque d'Auvergne,Griffon Fauve de Bretagne
North Country Beagle,Griffon Fauve de Bretagne
Staghound,Grand Bleu de Gascogne
Talbot (dog breed),Grand Bleu de Gascogne
Mudhol Hound,Grand Bleu de Gascogne
Schweizerischer Niederlaufhund,Grand Bleu de Gascogne
Hanover Hound,Grand Bleu de Gascogne
Alpine Dachsbracke,Grand Bleu de Gascogne
Kangaroo dog,Grand Bleu de Gascogne
Azawakh,Grand Bleu de Gascogne
Kahlúa,Coffee
Drip coffee,Coffee
Kerry Beagle,Grand Bleu de Gascogne
Scottish Deerhound,Grand Bleu de Gascogne
Coffee percolator,Coffee
Semantic Scholar,Coffee
Coffee wars,Coffee
Coffeemaker,Coffee
Scandinavian Journal of Gastroenterology,Coffee
London International Financial Futures and Options Exchange,Coffee
JSTOR,Coffee
Bolonka,Coton de Tulear
Shih Tzu,Coton de Tulear
Coffea charrieriana,Coffee
Pug,Coton de Tulear
Havanese dog,Coton de Tulear
ISSN,Coton de Tulear
Toliara,Coton de Tulear
Lhasa Apso,Coton de Tulear
Chihuahua (dog breed),Coton de Tulear
Picardy Spaniel,Beauceron
United Kennel Club,Coton de Tulear
French Bulldog,Beauceron
Billy (dog),Beauceron
Petit Basset Griffon Vendéen,Beauceron
Shetland Sheepdog,Beauceron
Malagasy peoples,Coton de Tulear
Chien Français Tricolore,Beauceron
Bichon Frisé,Beauceron
Cardigan Welsh Corgi,Beauceron
Shetland Sheepdog,Beauceron
Pumi dog,Beauceron
Cyanosis,Pug
Billy Joel,Pug
Boston Terrier,Pug
Kunma Dog,Pug
PubMed Central,Pug
Tibet,Pug
BBC,Pug
El Correo,El Mundo (Spain)
The New York Times,Pug
Cadena SER,El Mundo (Spain)
Compact (newspaper),El Mundo (Spain)
Expansión (Spanish newspaper),El Mundo (Spain)
Secularity,El Mundo (Spain)
House of Orange-Nassau,Pug
La Vanguardia,El Mundo (Spain)
Bank of Spain,El Mundo (Spain)
List of newspapers in Spain,El Mundo (Spain)
Digital object identifier,Pug
Dutch Interiors,Dona i Ocell
IO Donna,El Mundo (Spain)
Magic Fountain of Montjuïc,Dona i Ocell
The Navigator's Hope,Dona i Ocell
May 1968 (Miró),Dona i Ocell
